path	type	strategy	rel_file_path	timestamp	dirty	build	touch_build	node_x	node_y	node_color
/project1/Embody/toolbar/container_left	container	tdn	project1/Embody/toolbar/container_left.tdn	2026-08-27 04:30:42 UTC		17	099.2025.32460	0	0	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_left/status	text	tdn	project1/Embody/toolbar/container_left/status.tdn	2026-08-27 03:14:19 UTC		21	099.2025.32460	800	-200	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_left/disable	text	tdn	project1/Embody/toolbar/container_left/disable.tdn	2026-08-27 03:14:19 UTC		11	099.2025.32460	0	0	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_left/perform	text	tdn	project1/Embody/toolbar/container_left/perform.tdn	2026-08-27 03:14:19 UTC		1	099.2025.32460	0	0	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_left/refresh	text	tdn	project1/Embody/toolbar/container_left/refresh.tdn	2026-08-27 03:14:19 UTC		11	099.2025.32460	200	0	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_left/save_comp	text	tdn	project1/Embody/toolbar/container_left/save_comp.tdn	2026-08-27 03:14:19 UTC		1	099.2025.32460	1400	0	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_left/export_tdn	text	tdn	project1/Embody/toolbar/container_left/export_tdn.tdn	2026-08-27 03:14:19 UTC		1	099.2025.32460	0	-200	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_left/import_tdn	text	tdn	project1/Embody/toolbar/container_left/import_tdn.tdn	2026-08-27 03:14:19 UTC		1	099.2025.32460	400	-200	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_left/initialize	text	tdn	project1/Embody/toolbar/container_left/initialize.tdn	2026-08-27 03:14:19 UTC		1	099.2025.32460	600	0	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_left/spacer_tdn	container	tdn	project1/Embody/toolbar/container_left/spacer_tdn.tdn	2026-08-27 03:14:19 UTC		1	099.2025.32460	600	-200	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_left/save_folder	text	tdn	project1/Embody/toolbar/container_left/save_folder.tdn	2026-08-27 03:14:19 UTC		11	099.2025.32460	400	0	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_left/envoy_toggle	text	tdn	project1/Embody/toolbar/container_left/envoy_toggle.tdn	2026-08-27 03:14:19 UTC		5	099.2025.32460	800	0	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_left/spacer_envoy	container	tdn	project1/Embody/toolbar/container_left/spacer_envoy.tdn	2026-08-27 03:14:19 UTC		1	099.2025.32460	1200	0	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_left/export_comp_tdn	text	tdn	project1/Embody/toolbar/container_left/export_comp_tdn.tdn	2026-08-27 03:14:19 UTC		1	099.2025.32460	200	-200	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_right	container	tdn	project1/Embody/toolbar/container_right.tdn	2026-08-27 04:30:42 UTC		23	099.2025.32460	175	0	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_right/pars	text	tdn	project1/Embody/toolbar/container_right/pars.tdn	2026-08-27 03:14:20 UTC		1	099.2025.32460	600	0	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_right/close	text	tdn	project1/Embody/toolbar/container_right/close.tdn	2026-08-27 03:14:20 UTC		1	099.2025.32460	0	0	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_right/filter	text	tdn	project1/Embody/toolbar/container_right/filter.tdn	2026-08-27 03:14:20 UTC		1	099.2025.32460	200	0	0.3000,0.5000,0.9000
/project1/Embody/toolbar/container_right/spacer_pars	container	tdn	project1/Embody/toolbar/container_right/spacer_pars.tdn	2026-08-27 03:14:20 UTC		1	099.2025.32460	400	0	0.3000,0.5000,0.9000
